English,Sinhala
end,අවසානය
history,ඉතිහාසය
search,සෙවීම
only,පමනි
police,පොලිසිය
thought,සිතුවිල්ල
help,උදව්
request,ඉල්ලීම
kind,කාරුණික
month,මස
brother,සහෝදරයා
let,ඉඩ
because,නිසා
to put,දැමීමට
no,නැත
leash,ලීෂ්
them,ඔවුන්ට
city,නගරය
each,සෑම
speak,කතා කරන්න
come,එන්න
should,කළ යුතුයි
baby,ළදරු
long time,දිගු කාලය
hours,පැය
will,කැමැත්ත
while,අතර
meet again,නැවත හමුවන්න
any,ඕනෑම
square,චතුරස්රය
speak,කතා කරන්න
understood,තේරුණා
knew,දැනගෙන හිටියා
were,විය
Warning,අවවාදයයි
here is,මෙන්න
could,හැකි
case,නඩුව
give,දෙන්න
type,වර්ගය
their,ඔවුන්ගේ
given,ලබා දී ඇත
train,දුම්රිය
body,සිරුර
place,ස්ථානය
eyes,ඇස්
way,ආකාරය
listen,අහන්න
whose,කාගේ
find,සොයා ගන්න
first,පළමුවන
lost,නැතිවූ
hand,අත
first,පළමුවන
side,පැත්ත
power,බලය
old,පැරණි
be,වෙන්න
here,මෙතන
morning,උදෑසන
so much,ගොඩක්
child,ළමා
point,ලක්ෂ්යය
came,ආවා
after,පසුව
sorry,සමාවන්න
come,එන්න
in front of,ඉදිරියෙන්
towards,දෙසට
minutes,මිනිත්තු
request,ඉල්ලීම
bedroom,නිදන කාමරය
placed,තබා ඇත
beautiful,ලස්සනයි
law,නීතිය
would like to,කැමති
today,අද
husband,ස්වාමිපුරුෂයා
cause,හේතුව
finally,අවසාන
hope,බලාපොරොත්තුව
water,ජලය
Wait,ඉන්න
left,වමට
new,නවතම
job,රැකියා
Stop,නවත්වන්න
would say,කියයි
Earth,පොළොවේ
account,ගිණුම
given,ලබා දී ඇත
far,දුර
end,අවසානය
believe,විශ්වාස කරන්න
sweetheart,පැටියෝ
large,මහා
rather,ඒ වෙනුවට
will have,තිබුනා
girls,ගැහැණු ළමයින්
to play,සෙල්ලම් කිරීමට
office,කාර්යාලය
